text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"China commits enormous human rights abuses, and denies its citizens access to basic information — all while Trump l… https://t.co/DJINnW8YqY",FALSE,5257,NA,2019-12-20T05:01:20Z,TRUE,NA,1207888690997014528,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,1230,FALSE,FALSE,NA,NA
We've got to level with the American people. Don't play games with them. Tell them the truth and be authentic. https://t.co/PdJCTVnuU2,FALSE,2630,NA,2019-12-20T04:54:40Z,FALSE,NA,1207887014353350658,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,523,FALSE,FALSE,NA,NA
If you believe we need to bring empathy back to the White House chip in $5: https://t.co/5kbka2BrL9 https://t.co/s3mGJHxXBB,FALSE,4146,NA,2019-12-20T04:48:16Z,FALSE,NA,1207885405850361856,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,760,FALSE,FALSE,NA,NA
We are so much better than who Donald Trump thinks we are — we cannot let him define us as a nation.,FALSE,22527,NA,2019-12-12T02:40:00Z,FALSE,NA,1204954021015867392,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,3312,FALSE,FALSE,NA,NA
"We must take urgent action to end Donald Trump’s draconian immigration policies. In my first 100 days, we will:

-… https://t.co/tRPNT19GtQ",FALSE,11050,NA,2019-12-12T01:40:00Z,TRUE,NA,1204938921659916289,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,2344,FALSE,FALSE,NA,NA
"Trump has bullied our neighbors in Central America and abandoned U.S. leadership in the region.

As president, I'll… https://t.co/Uq3HPwyhzD",FALSE,1499,NA,2019-12-12T00:45:00Z,TRUE,NA,1204925080381382658,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,350,FALSE,FALSE,NA,NA
You shouldn’t be forced to give up the health insurance and benefits that you fought for. Period. https://t.co/sqNVioTmDM,FALSE,2925,NA,2019-12-12T00:10:00Z,FALSE,NA,1204916272330399744,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,563,FALSE,FALSE,NA,NA
.@DrBiden and I are keeping those affected by this hate-filled attack in our hearts. We cannot be silent in the fac… https://t.co/HJRAV5AiEU,FALSE,1869,NA,2019-12-11T22:39:10Z,TRUE,NA,1204893413008650241,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,400,FALSE,FALSE,NA,NA
Being a nation of immigrants has always been one of our greatest strengths. Our diversity makes us stronger. Donald… https://t.co/jzGBhK6aA0,FALSE,10845,NA,2019-12-11T22:15:00Z,TRUE,NA,1204887331716714496,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,2445,FALSE,FALSE,NA,NA
Immigration has always made us stronger—it’s essential to who we are. But Donald Trump has waged an assault on our… https://t.co/QDLt9tH1Bz,FALSE,1590,NA,2019-12-11T18:50:00Z,TRUE,NA,1204835741554987008,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,378,FALSE,FALSE,NA,NA
.@GretaThunberg’s passion and courage have inspired millions and sparked a youth-led movement for change in every c… https://t.co/NUOoU5qKHQ,FALSE,9941,NA,2019-12-11T18:30:51Z,TRUE,NA,1204830923579113472,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,1675,FALSE,FALSE,NA,NA
Folks are coming together across the country to host watch parties for next week's Democratic debate! Head to… https://t.co/JJb5da2qTm,FALSE,660,NA,2019-12-11T16:20:00Z,TRUE,NA,1204797992907096065,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,159,FALSE,FALSE,NA,NA
We can't afford four more years of a president who denies the scientific evidence in front of his eyes. We must get… https://t.co/lRpvlmF2jP,FALSE,8538,NA,2019-12-11T02:15:41Z,TRUE,NA,1204585513912602626,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,1749,FALSE,FALSE,NA,NA
"President Trump is leading the most corrupt administration in modern American history. At every turn, he has used t… https://t.co/fdpaoc49IV",FALSE,38264,NA,2019-12-11T01:15:00Z,TRUE,NA,1204570242204090369,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,6438,FALSE,FALSE,NA,NA
My team and I are going to pick one lucky person to come out and join me for dinner (and ice cream) on the campaign… https://t.co/wskiZ7URSb,FALSE,693,NA,2019-12-11T00:30:00Z,TRUE,NA,1204558917436506113,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,151,FALSE,FALSE,NA,NA
