,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,scores,compound,comp_score
421,Donald Trump has failed to provide for our nurses and doctors on the frontlines. Now he’s short-changing our troops… https://t.co/D88Rg2U5IF,False,23257,,2020-05-20T16:51:44Z,True,,1263150426477727750,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,7482,False,False,,,"{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.5106}",-0.5106,neg
422,"Now more than ever, we need a president who will choose to unite rather than divide.",False,106523,,2020-05-20T16:30:00Z,False,,1263144955867885568,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,16391,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
423,"When we emerge from this crisis, we can’t just go back to the way things were before. We need to take this country… https://t.co/3cTwCBUQA8",False,41984,,2020-05-20T14:20:00Z,True,,1263112240510627841,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,9150,False,False,,,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.7073}",-0.7073,neg
424,Congratulations to Dr. @iingwen on the start of her second term. Taiwan’s thriving democracy and response to COVID-… https://t.co/BBv2r1ZHX1,False,10903,,2020-05-20T02:24:58Z,True,,1262932298082799624,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,2278,False,False,,,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.5994}",0.5994,pos
425,The United States of America has always emerged stronger from every trial and tribulation — and we will again. We will overcome this.,False,56994,,2020-05-20T01:00:00Z,False,,1262910915768315904,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,8667,False,False,,,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.6597}",0.6597,pos
426,"During today’s Senate Banking Committee hearing, Secretary @StevenMnuchin1 refused to require corporations benefiti… https://t.co/37xkv9qjUD",False,40294,,2020-05-20T00:08:36Z,True,,1262897978890768384,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,12838,False,False,,,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
427,"Today, @DrBiden and I are mourning the death of our dear friend, Annie Glenn. Her long life was filled with great l… https://t.co/TwM95mjvSH",False,12384,,2020-05-19T23:18:00Z,True,,1262885244509671424,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,2278,False,False,,,"{'neg': 0.202, 'neu': 0.504, 'pos': 0.294, 'compound': 0.4767}",0.4767,pos
428,"Tonight, I'll be joining @chefjoseandres for a virtual town hall to discuss the impact of COVID-19 on food security… https://t.co/csvX6wqZTX",False,7668,,2020-05-19T21:50:00Z,True,,1262863098702004224,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,2046,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
429,Donald Trump is the worst possible person to lead us through this crisis. https://t.co/0H3jyciMou,False,59879,,2020-05-19T20:00:01Z,False,,1262835420108292101,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,11765,False,False,,,"{'neg': 0.428, 'neu': 0.572, 'pos': 0.0, 'compound': -0.8743}",-0.8743,neg
430,We need a president who believes in science.,False,332983,,2020-05-19T17:30:00Z,False,,1262797667677212672,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,43134,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
